station_id	station_name	station_code	cli_red_id	type	municipio	prov	coord_x	coord_y	elev	epsg	status	record_start	record_end	station_variables_id
1	Jeres del Marquesado	EARM10	1		JEREZ DEL MARQUESADO	GRANADA	484728	4115625	1258	25830	ACTIVO	18/08/1999 00:00:00	07/04/2020 00:00:00	11/28/49/53/64/70/79
2	Alhama	EARM20	1		ALHAMA DE ALMERIA	ALMERIA	541059	4090647	364	25830	ACTIVO	18/09/1999 00:00:00	08/08/2019 00:00:00	11/49/64/70/79/28/53
3	Soportujar	EARM27	1		SOPORTUJAR	GRANADA	463599	4090072	1461	25830	ACTIVO	10/09/1999 00:00:00	16/09/2019 00:00:00	11/28/49/53/64/70/79
4	Abla	EARM12	1		ABLA	ALMERIA	520402	4111205	910	25830	NO ACTIVO	24/09/1997 00:00:00	09/09/2006 00:00:00	11/28/49/53/64/70/79
5	Puerto Lobo	EARM09	1		VIZNAR	GRANADA	452607	4121457	1254	25830	NO ACTIVO	22/07/1997 00:00:00	26/08/2009 00:00:00	49/64/11/28/53/70/79
6	Abla, Venta Victoria	6301U	2		ABRUCENA	ALMERIA	517106.66	4111905.25	830	25830	ACTIVO	01/04/1987 00:00:00	31/05/2002 00:00:00	29/30/31/32/33/34/35/47/48
7	Abrucena	6302	2		ABRUCENA	ALMERIA	518221.34	4109750.5	975	25830	NO ACTIVO	01/09/1954 00:00:00	31/01/1987 00:00:00	29/30/31/32/33/34/35/47/48
8	Agrón-Fatimbullar	5557O	2		AGRON	GRANADA	429758.56	4095268.5	1220	25830	NO ACTIVO	01/01/1987 00:00:00	31/12/1994 00:00:00	29/30/31/32/33/34/35/47/48
9	Alboloduy	6306	2		ALBOLODUY	ALMERIA	533686.5	4098704	460	25830	ACTIVO	01/01/1965 00:00:00	28/02/2009 00:00:00	29/30/31/32/33/34/35/47/48
10	Albolote	5522	14		ALBOLOTE	GRANADA	441799.38	4119485.5	654	25830	ACTIVO	01/12/1985 00:00:00	31/07/2010 00:00:00	29/30/31/32/33/34/35/47/48
11	Albondón	6274U	2		ALBONDON	GRANADA	481137	4076193	976	25830	ACTIVO	01/07/1986 00:00:00	31/10/2019 00:00:00	60/62/29/30/31/32/33/34/35/43/47/48
12	Albuñol a Órjiva, C.P.C.	6273	2		POLOPOS	GRANADA	472584.44	4074337	1240	25830	ACTIVO	01/01/1961 00:00:00	31/12/2004 00:00:00	29/30/31/32/33/34/35/47/48
13	Albuñuelas	6254E	2		ALBUÑUELAS	GRANADA	443679	4087114	730	25830	NO ACTIVO	01/02/1961 00:00:00	30/11/1986 00:00:00	29/30/31/32/33/34/35/47/48
14	Alcolea	6278	2		ALCOLEA	ALMERIA	504042.94	4091242.25	739	25830	NO ACTIVO	01/11/1950 00:00:00	31/07/1975 00:00:00	29/30/31/32/33/34/35/47/48
15	Aldeire	5108	14		ALDEIRE	GRANADA	493673.47	4112660.75	1277	25830	ACTIVO	01/12/1985 00:00:00	31/05/2004 00:00:00	29/30/31/32/33/34/35/47/48
16	Aldeire, I.N.M.	5108A	2		ALDEIRE	GRANADA	493705	4113030	1271	25830	ACTIVO	01/08/1990 00:00:00	30/06/2016 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
